1AND2	(1-2)	(2-1)
P40926		
P16615		
P14550		
P13797		
P40763		
O00203		
P62820		
Q13509		
P09661		
O94905		
Q9Y2B0		
Q9Y265		
Q9HB71		
Q96IU4		
P62330		
Q9UMS0		
Q9Y490		
P12277		
P58546		
O75694		
P61513		
P82979		
O75534		
P54687		
Q9NX58		
Q02818		
Q13243		
P61970		
Q13155		
P30086		
P26599		
Q9NRH3		
P05388		
O43396		
P13693		
Q99832		
Q9UNH7		
P84090		
P61978		
Q9UBQ7		
P31947		
Q01813		
P05783		
P30049		
P27348		
Q5TZA2		
O94973		
P00338		
Q9BUJ2		
P63279		
P36915		
P46783		
Q06587		
Q9HAV7		
P48047		
P48643		
O15144		
G2XKQ0		
P24666		
Q9H4A4		
P21926		
Q13907		
P47755		
P61604		
Q2TAY7		
Q9BPX5		
P55145		
P42285		
Q92598		
P31040		
Q9P035		
Q9UNP9		
Q9UGT4		
O75390		
P62873		
Q969H8		
Q13045		
P61981		
P62861		
O43852		
P49591		
Q06323		
Q96C86		
O15427		
P62140		
P30040		
Q9Y6B6		
Q03169		
O60888		
P11387		
P51858		
Q8N766		
Q5H9R7		
P53004		
Q92974		
Q16181		
P55265		
P62241		
Q9H0A0		
P14625		
Q8TDN6		
P24539		
Q9UMS4		
P32119		
Q14204		
P13995		
P48735		
O15118		
Q96IX5		
O43399		
Q9C002		
P23921		
P55263		
P53621		
P61020		
P62937		
P07099		
Q15084		
P60981		
P25398		
Q9Y3I0		
Q9Y2V2		
P33176		
P61106		
Q9Y6E2		
O00571		
Q9ULT8		
O95292		
Q14697		
P21912		
P41252		
P07108		
P30101		
P30041		
Q96AG4		
Q6EEV6		
P04350		
O60749		
P48556		
P61224		
P78406		
Q96E39		
P30048		
Q14019		
P63261		
O75352		
Q86TU7		
Q9Y678		
Q08945		
Q9UBQ5		
P55884		
P14314		
P22102		
P49756		
Q04837		
O00533		
P17980		
P63244		
Q49AR2		
P22090		
Q14011		
P47756		
Q13838		
Q9HC38		
P61758		
P07305		
P28072		
P62269		
P62857		
P12081		
P09874		
P19971		
P16949		
O60264		
P54819		
Q96EP5		
O15145		
P35580		
Q96PU5		
P30044		
Q96KA5		
P31930		
Q00341		
P19367		
P62979		
Q9UBI6		
Q8N163		
P52565		
P27824		
P09382		
Q9UFN0		
Q8N543		
Q9UQ80		
P06454		
O75844		
P08574		
O14776		
P06744		
P61019		
P48739		
P27816		
P04844		
P12956		
P04181		
P61353		
Q9H0S4		
P18077		
Q9UDY2		
O75131		
P62841		
Q6NZI2		
P62701		
Q9Y281		
Q15642		
P25787		
Q9NTK5		
O75643		
Q9Y617		
P46782		
P17655		
P31948		
P39023		
P62191		
Q9ULV4		
P62244		
Q13177		
Q6DD88		
Q13242		
P18621		
P62333		
Q9NX63		
P48637		
O43776		
P09012		
P54136		
P16422		
Q04917		
Q96RP9		
Q99880		
Q9NYU2		
O95470		
Q15813		
P33991		
Q9BYN0		
Q969V3		
P07741		
Q9H773		
P36551		
P78417		
P68366		
Q16555		
P62913		
Q9NRP0		
Q13813		
P62318		
Q8IYD1		
O95232		
P49411		
Q8IYT4		
Q9BX68		
P51153		
Q9BXP5		
P11586		
P26640		
P46087		
P16152		
P07954		
P34932		
P30153		
P08758		
P43490		
P49327		
P09525		
O96000		
P0DP25		
P62829		
Q16563		
Q99878		
Q15102		
O15212		
P08865		
P23528		
O60701		
Q9NRR5		
P68104		
P02786		
O00410		
Q8NCW5		
Q9HD45		
Q13185		
Q9H6T3		
P63208		
Q7L2E3		
O96008		
P55786		
P33316		
P60900		
Q15126		
P15880		
P52907		
Q9H3N1		
Q9UG63		
Q7KZF4		
Q7LG56		
Q9Y4W6		
P26583		
P52209		
Q01844		
Q9Y3D9		
O43252		
P46109		
P54727		
Q07817		
P24752		
P43304		
P62942		
Q9BZG1		
P46977		
Q9Y570		
Q14103		
O95433		
P16401		
P31153		
P62316		
P63220		
O75964		
Q9GZY8		
Q9Y224		
P54105		
O95372		
Q9NX55		
O43809		
O75531		
Q15165		
P61221		
P49588		
P35080		
Q15365		
Q05639		
Q16881		
P31942		
P19338		
P52594		
P32969		
Q9Y383		
Q9H4M9		
P62888		
Q13724		
O75874		
P60174		
P21291		
Q16851		
Q14974		
Q00688		
P62304		
P04632		
P61086		
Q1KMD3		
P62995		
Q04637		
Q5JTV8		
Q12849		
Q9BQE3		
Q9Y4L1		
Q00839		
Q96C19		
Q09666		
O14979		
P13667		
Q9BSJ8		
P23193		
Q13310		
Q99584		
P61313		
P13639		
Q03252		
P06703		
O15372		
Q15181		
Q9Y2W1		
P62910		
O95104		
O76003		
P78527		
O75937		
Q01518		
Q9Y262		
Q13200		
O75369		
Q13283		
P31939		
Q07666		
P08238		
Q6P2Q9		
O00764		
Q15019		
P06737		
Q9Y6N5		
O43670		
Q99426		
P57088		
P06493		
P17174		
Q99729		
Q14978		
P40261		
Q14157		
P11166		
Q9H9P8		
P46940		
P09936		
Q99873		
Q8N128		
Q13162		
O00116		
P39748		
P62753		
Q9BTT0		
P12268		
Q96QK1		
Q16576		
Q92841		
P08133		
O60841		
Q9NR31		
Q15691		
Q99471		
P29692		
Q16891		
Q13564		
P04406		
Q00610		
P61026		
P07602		
P19525		
P12004		
Q9H0U4		
Q9BVC6		
P41091		
Q07960		
Q9UN86		
P29401		
P84077		
Q14498		
Q15843		
P59998		
Q9NSE4		
P49736		
Q9NVJ2		
P18669		
Q9NZ01		
Q9UHB9		
O43707		
Q14152		
P67812		
P41567		
P46779		
Q01469		
P53618		
P48507		
O00469		
P55010		
Q9H223		
P62495		
Q96G23		
P50454		
P06276		
Q9Y266		
Q9P0V9		
Q99439		
Q8TEX9		
Q9ULX3		
P07339		
Q3MHD2		
P50583		
Q8WUW1		
O43390		
P14324		
O60869		
O43795		
Q99829		
P07384		
P09972		
Q16401		
P22392		
Q96AE4		
P09496		
P60660		
P49257		
P15170		
P23396		
P61247		
O75083		
Q8WUM4		
O14684		
P47914		
P07355		
P00568		
Q9Y6X9		
O75347		
P82650		
Q9NR45		
Q15008		
P09651		
P63010		
P38646		
P13804		
P68133		
P06748		
Q3LXA3		
P30084		
P99999		
P46781		
P18124		
P10644		
P78344		
Q86VP6		
Q02790		
Q92544		
O43169		
Q06830		
Q8NF37		
P51114		
P46776		
P08243		
P84103		
Q9UHX1		
P20700		
Q13011		
Q8N1F7		
P20042		
Q9UJS0		
P01116		
Q99497		
O60506		
Q9NVP1		
Q9NY12		
P61158		
Q8NDC0		
P42166		
P01889		
P68400		
P10768		
Q8WXF1		
Q02878		
P28070		
O60610		
Q9UHD9		
O60493		
P52597		
Q86X55		
Q99986		
P55769		
P54578		
Q5SSJ5		
P37108		
Q00325		
P61289		
O95456		
Q99623		
O43148		
P08708		
P39687		
Q9UNX3		
Q99798		
P31946		
Q12931		
Q13148		
Q9Y3U8		
P25789		
O00264		
P21964		
P61803		
Q15631		
Q9P2J5		
P11177		
P26373		
P67809		
Q15293		
P18206		
Q8IWX8		
Q9BWM7		
Q9NR30		
O60313		
P35249		
P26006		
P63000		
P50990		
